source	target
1.CD4rest	CD4-positive, alpha-beta T cell
10.CD8EM/TRMact	effector memory CD8-positive, alpha-beta T cell
10.CD8TEMRAact	effector memory CD8-positive, alpha-beta T cell
11.CD8TEMRA	effector memory CD8-positive, alpha-beta T cell
2.CD4act1	CD4-positive, alpha-beta T cell
2.CD4rest2	CD4-positive, alpha-beta T cell
3.CD4act1	CD4-positive, alpha-beta T cell
3.CD4act2	CD4-positive, alpha-beta T cell
4.CD4act2	CD4-positive, alpha-beta T cell
4.CD4act3	CD4-positive, alpha-beta T cell
5.CD4TRMrest	CD4-positive, alpha-beta T cell
5.CD4act3	CD4-positive, alpha-beta T cell
6.CD4TRMact	CD4-positive, alpha-beta T cell
6.CD4Treg	CD4-positive, alpha-beta regulatory T cell
7.CD4Treg	CD4-positive, alpha-beta regulatory T cell
7.CD8EM/TRMrest	effector memory CD8-positive, alpha-beta T cell
8.CD8EM/TRMact	effector memory CD8-positive, alpha-beta T cell
8.CD8EM/TRMrest	effector memory CD8-positive, alpha-beta T cell
9.CD8TEMRArest	effector memory CD8-positive, alpha-beta T cell
9.CD8TRMrest	effector memory CD8-positive, alpha-beta T cell
