source	target	target_id
38.0	38-year-old human stage	HsapDv:0000132
46.0	46-year-old human stage	HsapDv:0000140
54.0	54-year-old human stage	HsapDv:0000148
56.0	56-year-old human stage	HsapDv:0000150
61.0	61-year-old human stage	HsapDv:0000155
62.0	62-year-old human stage	HsapDv:0000156
63.0	63-year-old human stage	HsapDv:0000157
67.0	67-year-old human stage	HsapDv:0000161
68.0	68-year-old human stage	HsapDv:0000162
70.0	70-year-old human stage	HsapDv:0000164
73.0	73-year-old human stage	HsapDv:0000167
75.0	75-year-old human stage	HsapDv:0000169
78.0	78-year-old human stage	HsapDv:0000172
82.0	82-year-old human stage	HsapDv:0000208
